Date,Open,High,Low,Close,Change_Pct,Volume
2005-01-04,23875.13,23875.13,23875.13,23875.13,0.13,0
2005-01-05,23834.4,23834.4,23834.4,23834.4,-0.17,0
2005-01-06,23887.59,23887.59,23887.59,23887.59,0.22,0
2005-01-07,23834.01,23834.01,23834.01,23834.01,-0.22,0
2005-01-10,23973.66,23973.66,23973.66,23973.66,0.59,0
2005-01-11,23888.51,23888.51,23888.51,23888.51,-0.36,0
2005-01-12,23889.59,23889.59,23889.59,23889.59,0.0,0
2005-01-13,23741.17,23741.17,23741.17,23741.17,-0.62,0
2005-01-14,23629.76,23629.76,23629.76,23629.76,-0.47,0
2005-01-17,23628.23,23628.23,23628.23,23628.23,-0.01,0
2005-01-18,23694.99,23694.99,23694.99,23694.99,0.28,0
2005-01-19,23722.89,23722.89,23722.89,23722.89,0.12,0
2005-01-24,23689.79,23689.79,23689.79,23689.79,-0.14,0
2005-01-25,23343.3,23343.3,23343.3,23343.3,-1.46,0
2005-01-26,23149.7,23149.7,23149.7,23149.7,-0.83,0
2005-01-27,23004.17,23004.17,23004.17,23004.17,-0.63,0
2005-01-28,23060.02,23060.02,23060.02,23060.02,0.24,0
2005-01-31,23073.79,23073.79,23073.79,23073.79,0.06,0
2005-02-01,22775.14,22775.14,22775.14,22775.14,-1.29,0
2005-02-02,22639.72,22639.72,22639.72,22639.72,-0.59,0
2005-02-03,22395.27,22395.27,22395.27,22395.27,-1.08,0
2005-02-04,22426.6,22426.6,22426.6,22426.6,0.14,0
2005-02-07,22512.27,22512.27,22512.27,22512.27,0.38,0
2005-02-08,22630.42,22630.42,22630.42,22630.42,0.52,0
2005-02-09,22893.54,22893.54,22893.54,22893.54,1.16,0
2005-02-10,23024.14,23024.14,23024.14,23024.14,0.57,0
2005-02-11,23024.07,23024.07,23024.07,23024.07,-0.0,0
2005-02-14,23024.01,23024.01,23024.01,23024.01,-0.0,0
2005-02-15,22815.58,22815.58,22815.58,22815.58,-0.91,0
2005-02-16,22797.9,22797.9,22797.9,22797.9,-0.08,0
2005-02-17,22733.71,22733.71,22733.71,22733.71,-0.28,0
2005-02-18,22762.39,22762.39,22762.39,22762.39,0.13,0
2005-02-21,22690.77,22690.77,22690.77,22690.77,-0.31,0
2005-02-22,22654.28,22654.28,22654.28,22654.28,-0.16,0
2005-02-23,22449.32,22449.32,22449.32,22449.32,-0.9,0
2005-02-24,22182.3,22182.3,22182.3,22182.3,-1.19,0
2005-02-25,22067.26,22067.26,22067.26,22067.26,-0.52,0
2005-02-28,21953.5,21953.5,21953.5,21953.5,-0.52,0
2005-03-01,21659.66,21659.66,21659.66,21659.66,-1.34,0
