year,exchange_rate_NGN_USD
,NGN=X
2005,130.32576930706318
2006,124.22046156663161
2007,122.32595314589919
2008,117.2359109627184
2009,148.82225007277268
2010,150.37315392127402
2011,153.39510214236714
2012,157.2647889235924
2013,157.39996197040264
2014,164.17103465580848
2015,196.25750890271416
2016,252.87670534780656
2017,331.91298441092175
2018,358.3871261324462
2019,358.29457702636716
2020,376.64823191402525
2021,399.313738241963
2022,422.59992241492637
2023,635.2119496272161
2024,1478.4162203956196
2025,1519.905525652815
2026,1378.081766764323
