"Date","Price","Open","High","Low","Vol.","Change %"
"25/03/2025","33.20","33.40","33.20","33.20","1.63M","-0.60%"
"24/03/2025","33.40","33.15","33.40","33.10","8.80M","0.75%"
"21/03/2025","33.15","33.15","33.20","33.15","3.14M","0.00%"
"20/03/2025","33.15","32.50","33.15","32.50","27.01M","2.00%"
"19/03/2025","32.50","32.00","32.50","32.00","16.35M","1.56%"
"18/03/2025","32.00","32.00","32.50","32.00","6.79M","0.00%"
"17/03/2025","32.00","32.00","32.00","32.00","761.18K","0.00%"
"14/03/2025","32.00","32.00","32.00","32.00","669.35K","0.00%"
"13/03/2025","32.00","31.00","32.00","32.00","2.45M","3.23%"
"12/03/2025","31.00","31.10","31.00","31.00","14.05M","-0.32%"
"11/03/2025","31.10","31.80","31.50","31.10","1.28M","-2.20%"
"10/03/2025","31.80","32.00","32.00","31.80","1.55M","-0.63%"
"07/03/2025","32.00","31.70","32.00","32.00","1.47M","0.95%"
"06/03/2025","31.70","32.10","32.15","31.70","1.61M","-1.25%"
"05/03/2025","32.10","34.00","32.10","32.10","1.22M","-5.59%"
"04/03/2025","34.00","34.00","34.00","34.00","498.21K","0.00%"
"03/03/2025","34.00","34.80","34.00","34.00","962.27K","-2.30%"
"28/02/2025","34.80","35.00","34.80","34.80","1.23M","-0.57%"
"27/02/2025","35.00","35.05","35.00","35.00","3.40M","-0.14%"
"26/02/2025","35.05","33.65","35.05","34.00","1.66M","4.16%"
"25/02/2025","33.65","33.65","33.65","33.65","611.58K","0.00%"
"24/02/2025","33.65","34.00","33.65","33.65","1.03M","-1.03%"
"21/02/2025","34.00","34.00","34.00","34.00","1.55M","0.00%"
"20/02/2025","34.00","35.00","34.00","34.00","1.92M","-2.86%"
"19/02/2025","35.00","35.80","35.50","34.85","2.97M","-2.23%"
"18/02/2025","35.80","36.30","35.80","35.80","3.19M","-1.38%"
"17/02/2025","36.30","33.00","36.30","33.80","11.38M","10.00%"
"14/02/2025","33.00","33.95","33.00","33.00","1.82M","-2.80%"
"13/02/2025","33.95","33.95","33.95","33.95","550.65K","0.00%"
"12/02/2025","33.95","32.30","33.95","32.65","2.49M","5.11%"
"11/02/2025","32.30","34.00","32.30","32.30","1.51M","-5.00%"
"10/02/2025","34.00","34.00","34.00","34.00","234.58K","0.00%"
"07/02/2025","34.00","34.00","34.00","33.90","1.61M","0.00%"
"06/02/2025","34.00","34.05","34.90","34.00","4.24M","-0.15%"
"05/02/2025","34.05","34.50","34.05","34.00","3.17M","-1.30%"
"04/02/2025","34.50","34.50","34.50","32.40","7.50M","0.00%"
"03/02/2025","34.50","35.80","35.80","34.50","9.14M","-3.63%"
"31/01/2025","35.80","34.50","35.80","34.25","17.16M","3.77%"
"30/01/2025","34.50","34.00","34.50","34.50","4.99M","1.47%"
"29/01/2025","34.00","32.00","35.10","33.00","7.98M","6.25%"
"28/01/2025","32.00","32.00","32.00","32.00","23.35M","0.00%"
"27/01/2025","32.00","31.00","32.00","31.70","7.71M","3.23%"
"24/01/2025","31.00","31.00","31.05","31.00","42.10M","0.00%"
"23/01/2025","31.00","31.00","31.00","31.00","626.76K","0.00%"
"22/01/2025","31.00","31.35","31.00","31.00","611.09K","-1.12%"
"21/01/2025","31.35","31.90","31.35","31.35","941.50K","-1.72%"
"20/01/2025","31.90","31.90","31.90","31.90","541.19K","0.00%"
"17/01/2025","31.90","31.05","31.90","31.90","451.22K","2.74%"
"16/01/2025","31.05","32.00","31.10","31.05","1.17M","-2.97%"
"15/01/2025","32.00","32.00","32.05","32.00","16.19M","0.00%"
"14/01/2025","32.00","32.00","32.00","31.00","32.20M","0.00%"
"13/01/2025","32.00","32.00","32.00","31.90","5.31M","0.00%"
"10/01/2025","32.00","32.20","32.05","32.00","27.29M","-0.62%"
"09/01/2025","32.20","32.20","32.20","32.20","395.70K","0.00%"
"08/01/2025","32.20","32.00","32.20","32.00","918.12K","0.63%"
"07/01/2025","32.00","32.15","32.20","32.00","3.70M","-0.47%"
"06/01/2025","32.15","32.15","32.15","32.15","2.93M","0.00%"
"03/01/2025","32.15","32.00","32.15","32.00","7.22M","0.47%"
"02/01/2025","32.00","32.00","32.00","32.00","2.02M","0.00%"
"31/12/2024","32.00","32.15","32.00","31.60","1.64M","-0.47%"
"30/12/2024","32.15","32.50","32.15","32.00","2.59M","-1.08%"
"27/12/2024","32.50","32.50","32.50","32.50","8.63M","0.00%"
"24/12/2024","32.50","31.00","32.50","32.00","3.59M","4.84%"
"23/12/2024","31.00","29.00","31.00","31.00","1.74M","6.90%"
"20/12/2024","29.00","30.00","29.00","29.00","2.14M","-3.33%"
"19/12/2024","30.00","28.00","30.00","30.00","9.52M","7.14%"
"18/12/2024","28.00","28.00","28.00","28.00","1.77M","0.00%"
"17/12/2024","28.00","28.00","28.00","28.00","363.63K","0.00%"
"16/12/2024","28.00","27.50","28.00","28.00","602.17K","1.82%"
"13/12/2024","27.50","27.50","27.50","27.50","861.21K","0.00%"
"12/12/2024","27.50","27.50","27.50","27.50","497.21K","0.00%"
"11/12/2024","27.50","27.15","27.50","27.50","2.34M","1.29%"
"10/12/2024","27.15","27.15","27.15","27.15","2.01M","0.00%"
"09/12/2024","27.15","27.30","27.15","27.15","610.46K","-0.55%"
"06/12/2024","27.30","28.10","27.30","27.30","433.72K","-2.85%"
"05/12/2024","28.10","28.10","28.10","28.10","367.35K","0.00%"
"04/12/2024","28.10","28.10","28.10","28.10","722.50K","0.00%"
"03/12/2024","28.10","28.10","28.10","28.10","307.42K","0.00%"
