"Date","Price","Open","High","Low","Vol.","Change %"
"15/05/2026","3,010.00","3,125.00","3,096.20","3,000.00","16.49K","-3.68%"
"14/05/2026","3,125.00","3,125.00","3,125.00","3,125.00","319.40K","0.00%"
"13/05/2026","3,125.00","3,125.00","3,125.00","3,125.00","357.09K","0.00%"
"12/05/2026","3,125.00","3,125.00","3,125.00","3,125.00","33.63K","0.00%"
"11/05/2026","3,125.00","3,125.00","3,125.00","3,125.00","21.37K","0.00%"
"08/05/2026","3,125.00","3,125.00","3,125.00","3,125.00","396.83K","0.00%"
"07/05/2026","3,125.00","3,150.00","3,125.00","3,125.00","387.73K","-0.79%"
"06/05/2026","3,150.00","3,150.00","3,150.00","3,150.00","237.42K","0.00%"
"05/05/2026","3,150.00","3,100.00","3,150.00","3,150.00","543.17K","1.61%"
"04/05/2026","3,100.00","3,100.00","3,100.00","3,100.00","18.05K","0.00%"
"30/04/2026","3,100.00","3,100.00","3,100.00","3,100.00","33.33K","0.00%"
"29/04/2026","3,100.00","3,100.00","3,100.00","3,100.00","106.06K","0.00%"
"28/04/2026","3,100.00","3,249.90","3,100.00","3,100.00","4.92M","-4.61%"
"27/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","15.64K","0.00%"
"24/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","498.69K","0.00%"
"23/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","80.92K","0.00%"
"22/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","18.28K","0.00%"
"21/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","23.88K","0.00%"
"20/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","178.14K","0.00%"
"17/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","166.49K","0.00%"
"16/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","27.30K","0.00%"
"15/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","45.43K","0.00%"
"14/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","9.26K","0.00%"
"13/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","81.54K","0.00%"
"10/04/2026","3,249.90","3,249.90","3,249.90","3,249.90","8.63K","0.00%"
"09/04/2026","3,249.90","3,055.50","3,249.90","3,249.90","1.41M","6.36%"
"08/04/2026","3,055.50","3,055.50","3,055.50","3,055.50","282.04K","0.00%"
"07/04/2026","3,055.50","3,055.50","3,055.50","3,055.50","20.22K","0.00%"
"02/04/2026","3,055.50","3,055.50","3,055.50","3,055.50","149.32K","0.00%"
"01/04/2026","3,055.50","3,395.00","3,055.50","3,055.50","204.53K","-10.00%"
"31/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","392.06K","0.00%"
"30/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","736.28K","0.00%"
"27/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","66.01K","0.00%"
"26/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","25.42K","0.00%"
"25/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","10.30K","0.00%"
"24/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","12.63K","0.00%"
"23/03/2026","3,395.00","3,395.00","3,395.00","3,395.00","23.56K","0.00%"
"18/03/2026","3,395.00","3,250.00","3,395.00","3,250.00","2.09M","4.46%"
"17/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","1.03M","0.00%"
"16/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","39.30K","0.00%"
"13/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","6.04K","0.00%"
"12/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","98.83K","0.00%"
"11/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","30.19K","0.00%"
"10/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","130.09K","0.00%"
"09/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","35.21K","0.00%"
"06/03/2026","3,250.00","3,250.00","3,250.00","3,250.00","40.03K","0.00%"
"05/03/2026","3,250.00","3,100.00","3,250.00","3,250.00","367.68K","4.84%"
"04/03/2026","3,100.00","3,100.00","3,100.00","3,100.00","23.28K","0.00%"
"03/03/2026","3,100.00","3,100.00","3,100.00","3,100.00","23.65K","0.00%"
