Date,open,high,low,close,volume
04/01/05,33.75999832,33.75999832,33.75999832,33.75999832,366438
05/01/05,33.75999832,33.75999832,33.75999832,33.45000076,828418
06/01/05,33.40000153,33.40000153,33.40000153,33.40000153,977080
07/01/05,33.18000031,33.18000031,33.18000031,33.18000031,2762852
10/01/05,33.38999939,33.38999939,33.38999939,33.38999939,954688
11/01/05,33.52000046,33.52000046,33.52000046,33.52000046,1216513
12/01/05,33.56000137,33.56000137,33.56000137,33.56000137,1192070
13/01/05,32.81000137,32.81000137,32.81000137,32.81000137,1380050
14/01/05,32,32,32,32,2046638
17/01/05,32,32,32,32,1371263
18/01/05,31.98999977,31.98999977,31.98999977,31.98999977,1895708
19/01/05,31.60000038,31.60000038,31.60000038,31.60000038,1755131
24/01/05,31.62000084,31.62000084,31.62000084,31.62000084,1687588
25/01/05,30.07999992,30.07999992,30.07999992,30.07999992,2251217
26/01/05,30,30,30,30,1808975
27/01/05,28.69000053,28.69000053,28.69000053,28.69000053,1294448
28/01/05,28.62000084,28.62000084,28.62000084,28.62000084,1575596
31/01/05,28,28,28,28,1846465
01/02/05,27.44000053,27.44000053,27.44000053,27.44000053,2747815
02/02/05,26.79999924,26.79999924,26.79999924,26.79999924,1575077
03/02/05,26.12000084,26.12000084,26.12000084,26.12000084,1490052
04/02/05,26.42000008,26.42000008,26.42000008,26.42000008,1547747
07/02/05,27.59000015,27.59000015,27.59000015,27.59000015,1514390
08/02/05,28.78000069,28.78000069,28.78000069,28.78000069,2143248
09/02/05,30.21999931,30.21999931,30.21999931,30.21999931,2382102
10/02/05,31.71999931,31.71999931,31.71999931,31.71999931,2734080
11/02/05,32.68000031,32.68000031,32.68000031,32.68000031,2145927
14/02/05,31.04999924,31.04999924,31.04999924,31.04999924,2274742
15/02/05,30.15999985,30.15999985,30.15999985,30.15999985,2646787
16/02/05,30.39999962,30.39999962,30.39999962,30.39999962,1870890
17/02/05,30.87999916,30.87999916,30.87999916,30.87999916,1973343
18/02/05,31.05999947,31.05999947,31.05999947,31.05999947,1482980
21/02/05,31.07999992,31.07999992,31.07999992,31.07999992,2012655
22/02/05,30.79999924,30.79999924,30.79999924,30.79999924,1331495
23/02/05,30,30,30,30,2055430
24/02/05,28.65999985,28.65999985,28.65999985,28.65999985,1386783
25/02/05,28,28,28,28,1546975
28/02/05,28.01000023,28.01000023,28.01000023,28.01000023,1313176
01/03/05,27.02000046,27.02000046,27.02000046,27.02000046,2029178
02/03/05,27.20000076,27.20000076,27.20000076,27.20000076,1361883
03/03/05,26.39999962,26.39999962,26.39999962,26.39999962,1795322
04/03/05,27.71999931,27.71999931,27.71999931,27.71999931,941581
07/03/05,28.04999924,28.04999924,28.04999924,28.04999924,1485582
08/03/05,28.79999924,28.79999924,28.79999924,28.79999924,920873
09/03/05,28.87999916,28.87999916,28.87999916,28.87999916,1851620
10/03/05,28.92000008,28.92000008,28.92000008,28.92000008,1055171
11/03/05,29.20000076,29.20000076,29.20000076,29.20000076,1032375
14/03/05,29.35000038,29.35000038,29.35000038,29.35000038,1022393
15/03/05,27.88999939,27.88999939,27.88999939,27.88999939,2206471
16/03/05,27.51000023,27.51000023,27.51000023,27.51000023,1753691
17/03/05,27.02000046,27.02000046,27.02000046,27.02000046,1501232
18/03/05,28,28,28,28,872571
21/03/05,27.98999977,27.98999977,27.98999977,27.98999977,1531876
22/03/05,27.73999977,27.73999977,27.73999977,27.73999977,1194323
23/03/05,27.93000031,27.93000031,27.93000031,27.93000031,1130986
24/03/05,27.20999908,27.20999908,27.20999908,27.20999908,1560916
29/03/05,27.01000023,27.01000023,27.01000023,27.01000023,1181658
30/03/05,26.92000008,26.92000008,26.92000008,26.92000008,1571535
31/03/05,26.55999947,26.55999947,26.55999947,26.55999947,2876747
01/04/05,27.19000053,27.19000053,27.19000053,27.19000053,1507525
04/04/05,26.39999962,26.39999962,26.39999962,26.39999962,3403698
05/04/05,25.53000069,25.53000069,25.53000069,25.53000069,1943401
06/04/05,25.57999992,25.57999992,25.57999992,25.57999992,1825601
07/04/05,24.79999924,24.79999924,24.79999924,24.79999924,5611087
08/04/05,24.18000031,24.18000031,24.18000031,24.18000031,2819293
11/04/05,24,24,24,24,3380468
12/04/05,22.79999924,22.79999924,22.79999924,22.79999924,3505040
13/04/05,21.65999985,21.65999985,21.65999985,21.65999985,1249838
14/04/05,20.71999931,20.71999931,20.71999931,20.71999931,3867962
15/04/05,21.75,21.75,21.75,21.75,1876077
18/04/05,22.82999992,22.82999992,22.82999992,22.82999992,1664290
19/04/05,23.96999931,23.96999931,23.96999931,23.96999931,6666369
20/04/05,25.15999985,25.15999985,25.15999985,25.15999985,3343745
22/04/05,25.10000038,25.10000038,25.10000038,25.10000038,2723605
25/04/05,24.72999954,24.72999954,24.72999954,24.72999954,2277300
26/04/05,25.90999985,25.90999985,25.90999985,25.90999985,1189261
27/04/05,26.23999977,26.23999977,26.23999977,26.23999977,1468202
28/04/05,26.15999985,26.15999985,26.15999985,26.15999985,1769468
29/04/05,26.38999939,26.38999939,26.38999939,26.38999939,1235868
03/05/05,25.12000084,25.12000084,25.12000084,25.12000084,1742623
04/05/05,24.42000008,24.42000008,24.42000008,24.42000008,1799596
05/05/05,24.32999992,24.32999992,24.32999992,24.32999992,1401853
06/05/05,25.54000092,25.54000092,25.54000092,25.54000092,1095682
09/05/05,25.23999977,25.23999977,25.23999977,25.23999977,978925
10/05/05,25.59000015,25.59000015,25.59000015,25.59000015,1430793
11/05/05,25.59000015,25.59000015,25.59000015,25.59000015,1732571
12/05/05,25.12999916,25.12999916,25.12999916,25.12999916,991025
13/05/05,24.79000092,24.79000092,24.79000092,24.79000092,1381551
16/05/05,24.65999985,24.65999985,24.65999985,24.65999985,1254993
17/05/05,24,24,24,24,3027325
18/05/05,24,24,24,24,2894185
19/05/05,23.97999954,23.97999954,23.97999954,23.97999954,5415916
20/05/05,23.65999985,23.65999985,23.65999985,23.65999985,537770
23/05/05,22.47999954,22.47999954,22.47999954,22.47999954,3335466
24/05/05,21.60000038,21.60000038,21.60000038,21.60000038,3413767
25/05/05,21.62000084,21.62000084,21.62000084,21.62000084,2349716
26/05/05,22.38999939,22.38999939,22.38999939,22.38999939,1865783
27/05/05,23.20000076,23.20000076,23.20000076,23.20000076,1183930
31/05/05,23.45999908,23.45999908,23.45999908,23.45999908,1075652
01/06/05,22.86000061,22.86000061,22.86000061,22.86000061,2213878
02/06/05,22.39999962,22.39999962,22.39999962,22.39999962,3354602
03/06/05,22,22,22,22,1896183
06/06/05,21.89999962,21.89999962,21.89999962,21.89999962,1113946
07/06/05,21.88999939,21.88999939,21.88999939,21.88999939,2290717
08/06/05,22.76000023,22.76000023,22.76000023,22.76000023,2553783
09/06/05,22.67000008,22.67000008,22.67000008,22.67000008,1225211
10/06/05,22.48999977,22.48999977,22.48999977,22.48999977,1156350
13/06/05,22.40999985,22.40999985,22.40999985,22.40999985,1384807
14/06/05,22.71999931,22.71999931,22.71999931,22.71999931,1871302
15/06/05,22.45000076,22.45000076,22.45000076,22.45000076,921282
16/06/05,22.45000076,22.45000076,22.45000076,22.45000076,1565801
17/06/05,22.68000031,22.68000031,22.68000031,22.68000031,1033518
20/06/05,22.51000023,22.51000023,22.51000023,22.51000023,1747085
21/06/05,22.02000046,22.02000046,22.02000046,22.02000046,2916242
22/06/05,22.31999969,22.31999969,22.31999969,22.31999969,2625171
23/06/05,21.85000038,21.85000038,21.85000038,21.85000038,825325
24/06/05,21.75,21.75,21.75,21.75,1698733
27/06/05,21.60000038,21.60000038,21.60000038,21.60000038,1511175
28/06/05,21.84000015,21.84000015,21.84000015,21.84000015,2464827
29/06/05,21.52000046,21.52000046,21.52000046,21.52000046,1320958
30/06/05,20.80999947,20.80999947,20.80999947,20.80999947,2022160
01/07/05,21.44000053,21.44000053,21.44000053,21.44000053,1910230
04/07/05,22,22,22,22,1873220
05/07/05,21.61000061,21.61000061,21.61000061,21.61000061,1821178
06/07/05,21.80999947,21.80999947,21.80999947,21.80999947,2214362
07/07/05,21.93000031,21.93000031,21.93000031,21.93000031,1153207
08/07/05,22.10000038,22.10000038,22.10000038,22.10000038,1736305
11/07/05,22.22999954,22.22999954,22.22999954,22.22999954,1033241
12/07/05,22.44000053,22.44000053,22.44000053,22.44000053,1653220
13/07/05,22.45000076,22.45000076,22.45000076,22.45000076,1267337
14/07/05,22.42000008,22.42000008,22.42000008,22.42000008,1292773
15/07/05,22.88999939,22.88999939,22.88999939,22.88999939,1800240
18/07/05,22.94000053,22.94000053,22.94000053,22.94000053,1031237
19/07/05,23.28000069,23.28000069,23.28000069,23.28000069,2008982
20/07/05,23.20000076,23.20000076,23.20000076,23.20000076,2460400
21/07/05,23.27000046,23.27000046,23.27000046,23.27000046,1820366
22/07/05,23.20000076,23.20000076,23.20000076,23.20000076,1632895
25/07/05,23.18000031,23.18000031,23.18000031,23.18000031,2000260
26/07/05,23.25,23.25,23.25,23.25,1414692
27/07/05,23.60000038,23.60000038,23.60000038,23.60000038,1509727
28/07/05,23.97999954,23.97999954,23.97999954,23.97999954,1319715
29/07/05,24.84000015,24.84000015,24.84000015,24.84000015,969956
01/08/05,26.07999992,26.07999992,26.07999992,26.07999992,2019257
02/08/05,27.37999916,27.37999916,27.37999916,27.37999916,2286842
03/08/05,27.69000053,27.69000053,27.69000053,27.69000053,2914108
04/08/05,26.32999992,26.32999992,26.32999992,26.32999992,3445320
05/08/05,25.54000092,25.54000092,25.54000092,25.54000092,1623385
08/08/05,24.54000092,24.54000092,24.54000092,24.54000092,2113492
09/08/05,24.01000023,24.01000023,24.01000023,24.01000023,1670341
10/08/05,24.70999908,24.70999908,24.70999908,24.70999908,1807432
11/08/05,25.15999985,25.15999985,25.15999985,25.15999985,1359233
12/08/05,24.68000031,24.68000031,24.68000031,24.68000031,793658
15/08/05,24.39999962,24.39999962,24.39999962,24.39999962,1760753
16/08/05,24.07999992,24.07999992,24.07999992,24.07999992,2839953
17/08/05,24.01000023,24.01000023,24.01000023,24.01000023,2585931
18/08/05,24.39999962,24.39999962,24.39999962,24.39999962,1298175
19/08/05,24.36000061,24.36000061,24.36000061,24.36000061,1125148
22/08/05,24,24,24,24,2131318
23/08/05,23.98999977,23.98999977,23.98999977,23.98999977,1742975
24/08/05,23.68000031,23.68000031,23.68000031,23.68000031,2260256
25/08/05,23.54000092,23.54000092,23.54000092,23.54000092,1291705
26/08/05,23.85000038,23.85000038,23.85000038,23.85000038,1578423
29/08/05,23.93000031,23.93000031,23.93000031,23.93000031,1378802
30/08/05,24.07999992,24.07999992,24.07999992,24.07999992,1625535
31/08/05,24.45999908,24.45999908,24.45999908,24.45999908,2622903
01/09/05,24.95999908,24.95999908,24.95999908,24.95999908,1247241
02/09/05,26.20999908,26.20999908,26.20999908,26.20999908,2428973
05/09/05,27.51000023,27.51000023,27.51000023,27.51000023,2412347
06/09/05,28.87999916,28.87999916,28.87999916,28.87999916,5111387
07/09/05,27.89999962,27.89999962,27.89999962,27.89999962,3498915
08/09/05,26.52000046,26.52000046,26.52000046,26.52000046,2683631
09/09/05,26.37999916,26.37999916,26.37999916,26.37999916,1574672
12/09/05,26.15999985,26.15999985,26.15999985,26.15999985,778652
13/09/05,25.88999939,25.88999939,25.88999939,25.88999939,2032597
14/09/05,26.21999931,26.21999931,26.21999931,26.21999931,1274386
15/09/05,26.55999947,26.55999947,26.55999947,26.55999947,1426307
16/09/05,27.88999939,27.88999939,27.88999939,27.88999939,1563206
19/09/05,29.28000069,29.28000069,29.28000069,29.28000069,2441227
20/09/05,28.12000084,28.12000084,28.12000084,28.12000084,3276365
21/09/05,28,28,28,28,2982650
22/09/05,27.98999977,27.98999977,27.98999977,27.98999977,2072871
