"Date","Price","Open","High","Low","Vol.","Change %"
"15/05/2026","4.22","4.00","4.22","3.82","4.01M","5.50%"
"14/05/2026","4.00","4.12","4.00","3.80","3.80M","-2.91%"
"13/05/2026","4.12","4.25","4.12","3.90","1.34M","-3.06%"
"12/05/2026","4.25","4.25","4.25","4.25","510.27K","0.00%"
"11/05/2026","4.25","4.15","4.25","3.83","1.28M","2.41%"
"08/05/2026","4.15","4.00","4.15","3.84","3.59M","3.75%"
"07/05/2026","4.00","4.05","4.00","3.65","5.58M","-1.23%"
"06/05/2026","4.05","4.50","4.05","4.05","1.07M","-10.00%"
"05/05/2026","4.50","4.35","4.50","4.50","1.29M","3.45%"
"04/05/2026","4.35","4.00","4.35","3.80","4.60M","8.75%"
"30/04/2026","4.00","4.25","4.00","4.00","5.90M","-5.88%"
"29/04/2026","4.25","4.50","4.50","4.05","5.43M","-5.56%"
"28/04/2026","4.50","4.23","4.50","4.50","702.26K","6.38%"
"27/04/2026","4.23","4.40","4.23","4.20","862.45K","-3.86%"
"24/04/2026","4.40","4.60","4.40","4.40","350.92K","-4.35%"
"23/04/2026","4.60","4.68","4.60","4.25","1.44M","-1.71%"
"22/04/2026","4.68","4.70","4.68","4.32","724.11K","-0.43%"
"21/04/2026","4.70","4.88","4.70","4.70","748.03K","-3.69%"
"20/04/2026","4.88","4.48","4.88","4.55","825.94K","8.93%"
"17/04/2026","4.48","4.60","4.48","4.15","2.19M","-2.61%"
"16/04/2026","4.60","4.60","4.60","4.60","556.96K","0.00%"
"15/04/2026","4.60","4.35","4.60","4.60","817.91K","5.75%"
"14/04/2026","4.35","4.20","4.35","4.35","629.43K","3.57%"
"13/04/2026","4.20","4.20","4.20","4.20","392.51K","0.00%"
"10/04/2026","4.20","4.20","4.20","4.20","210.43K","0.00%"
"09/04/2026","4.20","4.20","4.20","4.20","201.10K","0.00%"
"08/04/2026","4.20","4.20","4.20","4.20","676.62K","0.00%"
"07/04/2026","4.20","4.65","4.20","4.20","1.03M","-9.68%"
"06/04/2026","4.65","4.65","4.65","4.65","100.01K","0.00%"
"02/04/2026","4.65","4.65","4.65","4.65","100.01K","0.00%"
"01/04/2026","4.65","4.65","4.65","4.65","169.69K","0.00%"
"31/03/2026","4.65","4.65","4.65","4.65","311.10K","0.00%"
"30/03/2026","4.65","4.65","4.65","4.65","319.04K","0.00%"
"27/03/2026","4.65","4.31","4.65","4.31","1.16M","7.89%"
"26/03/2026","4.31","4.73","4.33","4.31","1.20M","-8.88%"
"25/03/2026","4.73","4.50","4.73","4.60","1.56M","5.11%"
"24/03/2026","4.50","4.49","4.50","4.15","1.84M","0.22%"
"23/03/2026","4.49","4.33","4.49","4.40","624.17K","3.70%"
